dataset,shift_mode,severity,abs_coverage_divergence,log_weight_rmse,estimated_ess_ratio
appliances,directional,0.5,0.003520000000000001,0.2008535826414576,0.7165638842696423
appliances,directional,1.0,0.0017600000000000005,0.22171073153310622,0.3300442774989854
appliances,directional,1.5,0.003620000000000001,0.2556622664121828,0.15175476561178436
appliances,directional,2.0,0.007479999999999998,0.30769141191678795,0.0851281487283011
ccpp,directional,0.5,0.0011199999999999932,0.08559175510769323,0.8077761483754134
ccpp,directional,1.0,0.0021799999999999988,0.10897171159913754,0.518164490950302
ccpp,directional,1.5,0.003099999999999986,0.1278550300843566,0.33598261324600404
ccpp,directional,2.0,0.003020000000000006,0.19640716575630549,0.22251170902256195
ccpp,radial,1.0,0.021179999999999977,1.1083719347065897,0.9144212379776301
ccpp,radial,2.0,0.02554,3.077701538898057,0.7081254838528801
gas_turbine_nox,directional,0.5,0.003700000000000003,0.1109243797289935,0.7565894202743659
gas_turbine_nox,directional,1.0,0.002640000000000009,0.12726855694286227,0.43311876372255737
gas_turbine_nox,directional,1.5,0.004760000000000003,0.1545863789896921,0.23401300720111418
gas_turbine_nox,directional,2.0,0.006579999999999997,0.2218511020249323,0.13734066371650283
online_news,directional,0.5,0.05506,1.1959952235051596,0.5180601290033082
online_news,directional,1.0,0.03497999999999998,1.619602227795052,0.30145141192367353
online_news,directional,1.5,0.030280000000000012,1.51110311417953,0.18659448244557733
online_news,directional,2.0,0.03300000000000001,1.8298775334913118,0.07239185376398191
superconductivity,directional,0.5,0.00358,0.3263487211257021,0.8073048765156008
superconductivity,directional,1.0,0.002860000000000007,0.41939433992929515,0.6497576159070011
superconductivity,directional,1.5,0.002999999999999997,0.4474754028933325,0.5566742356539327
superconductivity,directional,2.0,0.001920000000000005,0.5067207381553848,0.49342819563837786
superconductivity,radial,1.0,0.009760000000000013,0.4122791643239033,0.12278361309721333
superconductivity,radial,2.0,0.037599999999999995,1.1199808363823975,0.01069065127334517
