dataset,shift_mode,method,coverage_mean,coverage_ci95_high,ess_ratio_mean,infinite_fraction_mean,baseline_undercoverage,baseline_undercoverage_CI,baseline_info_fragile,baseline_usability_issue
appliances,directional,CQR-GBR,0.89936,0.9033885998817868,1.0,0.0,False,False,False,False
appliances,directional,Estimated-WCP-Primary,0.89768,0.9017292421728972,0.9624117127850346,0.0,False,False,False,False
appliances,directional,Estimated-WCP-Sensitivity,0.89794,0.9024273001168244,0.9830975685636323,0.0,False,False,False,False
appliances,directional,Oracle-WCP-Ridge,0.8987,0.9033838374574329,1.0,0.0,False,False,False,False
appliances,directional,SCP-Ridge,0.8987,0.9033838374574329,1.0,0.0,False,False,False,False
ccpp,directional,CQR-GBR,0.9014200000000001,0.9065094586163097,1.0,0.0,False,False,False,False
ccpp,directional,Estimated-WCP-Primary,0.8987400000000001,0.9037083461950365,0.9927105873972468,0.0,False,False,False,False
ccpp,directional,Estimated-WCP-Sensitivity,0.8984400000000001,0.9034466697480295,0.995745583598351,0.0,False,False,False,False
ccpp,directional,Oracle-WCP-Ridge,0.8977,0.9026361654944653,1.0,0.0,False,False,False,False
ccpp,directional,SCP-Ridge,0.8977,0.9026361654944653,1.0,0.0,False,False,False,False
gas_turbine_nox,directional,CQR-GBR,0.8980600000000001,0.9018846708546391,1.0,0.0,False,False,False,False
gas_turbine_nox,directional,Estimated-WCP-Primary,0.89778,0.9013400066291203,0.9872417649605228,0.0,False,False,False,False
gas_turbine_nox,directional,Estimated-WCP-Sensitivity,0.898,0.9012012790398178,0.9927488792362338,0.0,False,False,False,False
gas_turbine_nox,directional,Oracle-WCP-Ridge,0.8979799999999999,0.9009644806461203,1.0,0.0,False,False,False,False
gas_turbine_nox,directional,SCP-Ridge,0.8979799999999999,0.9009644806461203,1.0,0.0,False,False,False,False
online_news,directional,CQR-GBR,0.9012800000000001,0.9040756441755627,1.0,0.0,False,False,False,False
online_news,directional,Estimated-WCP-Primary,0.90256,0.9100473436860683,0.7423475155580012,0.0,False,False,False,False
online_news,directional,Estimated-WCP-Sensitivity,0.90832,0.9204578832165737,0.7980688887097533,0.0,False,False,False,False
online_news,directional,Oracle-WCP-Ridge,0.90048,0.9044644956757721,1.0,0.0,False,False,False,False
online_news,directional,SCP-Ridge,0.90048,0.9044644956757721,1.0,0.0,False,False,False,False
superconductivity,directional,CQR-GBR,0.90114,0.9062766445329078,1.0,0.0,False,False,False,False
superconductivity,directional,Estimated-WCP-Primary,0.89502,0.9005258782809491,0.9130969724909216,0.0,False,False,False,False
superconductivity,directional,Estimated-WCP-Sensitivity,0.89548,0.9010619445754403,0.961136412371439,0.0,False,False,False,False
superconductivity,directional,Oracle-WCP-Ridge,0.89768,0.9021447691317679,1.0,0.0,False,False,False,False
superconductivity,directional,SCP-Ridge,0.89768,0.9021447691317679,1.0,0.0,False,False,False,False
