dataset,shift_mode,method,B_cov,B_cov_CI,B_info,B_inf
appliances,directional,CQR-GBR,,,,
appliances,directional,Estimated-WCP-Primary,,,1.5,
appliances,directional,Estimated-WCP-Sensitivity,,,1.5,
appliances,directional,Oracle-WCP-Ridge,,,1.5,
appliances,directional,SCP-Ridge,,,,
ccpp,directional,CQR-GBR,,,,
ccpp,directional,Estimated-WCP-Primary,,,,
ccpp,directional,Estimated-WCP-Sensitivity,,,,
ccpp,directional,Oracle-WCP-Ridge,,,,
ccpp,directional,SCP-Ridge,1.5,1.5,,
gas_turbine_nox,directional,CQR-GBR,,,,
gas_turbine_nox,directional,Estimated-WCP-Primary,,,,
gas_turbine_nox,directional,Estimated-WCP-Sensitivity,,,,
gas_turbine_nox,directional,Oracle-WCP-Ridge,,,,
gas_turbine_nox,directional,SCP-Ridge,1.5,1.5,,
online_news,directional,CQR-GBR,,,,
online_news,directional,Estimated-WCP-Primary,,,1.5,
online_news,directional,Estimated-WCP-Sensitivity,,,,
online_news,directional,Oracle-WCP-Ridge,,,,
online_news,directional,SCP-Ridge,1.5,1.5,,
superconductivity,directional,CQR-GBR,,,,
superconductivity,directional,Estimated-WCP-Primary,,,,
superconductivity,directional,Estimated-WCP-Sensitivity,,,,
superconductivity,directional,Oracle-WCP-Ridge,,,,
superconductivity,directional,SCP-Ridge,0.5,1.0,,
