dgp,noise,shift_family,method,severity,coverage_mean,coverage_sd,coverage_gap_mean,coverage_deficit_mean,width_mean,interval_score_mean,infinite_fraction_mean,ess_ratio_mean,weight_cv_mean,max_normalized_weight_mean,shift_auc_mean,mmd2_mean,log_weight_rmse_mean,log_weight_mae_mean,log_weight_corr_mean,est_to_oracle_ess_ratio_mean,coverage_se,coverage_ci95_low,coverage_ci95_high
linear,gaussian,mean,CQR-GBR,0.0,0.9002533333333333,0.010793859471887286,0.00934666666666662,0.004546666666666654,4.455768170812781,5.550571092848654,0.0,1.0,0.0,0.001,,0.0037278638262534633,,,,,0.0019706801050978218,0.8962228399672261,0.9042838266994406
linear,gaussian,mean,CQR-GBR,0.5,0.90064,0.010322576529476343,0.008453333333333283,0.003906666666666653,4.475995455404843,5.543859052979765,0.0,1.0,0.0,0.001,,0.016358922013613168,,,,,0.0018846360055891948,0.8967854865767384,0.9044945134232616
linear,gaussian,mean,CQR-GBR,1.0,0.8978666666666667,0.012904886359593516,0.010506666666666624,0.006319999999999993,4.572450046445826,5.756627871659274,0.0,1.0,0.0,0.001,,0.056953079841686675,,,,,0.0023560991203966978,0.8930479029058286,0.9026854304275048
linear,gaussian,mean,CQR-GBR,1.5,0.8943733333333334,0.016644579387551532,0.013919999999999964,0.009773333333333327,4.74627555741339,6.01753594736426,0.0,1.0,0.0,0.001,,0.11746015764822072,,,,,0.0030388705302491657,0.8881581452462642,0.9005885214204025
linear,gaussian,mean,CQR-GBR,2.0,0.8910666666666667,0.021916539705064724,0.019759999999999958,0.014346666666666643,4.988671241719422,6.434711285632159,0.0,1.0,0.0,0.001,,0.19162211627366985,,,,,0.004001394392973857,0.882882896244293,0.8992504370890404
linear,gaussian,mean,Estimated-WCP-Primary,0.0,0.90064,0.008601266947575105,0.0068533333333332695,0.0031066666666666565,3.318802671581787,4.1479436559517,0.0,0.9550426617368609,0.212110043700626,0.00265061216472908,0.5020142266666666,0.0037278638262534633,0.20425659742420135,0.148286609088915,,0.9550426617368609,0.0015703693101034968,0.8974282341378809,0.9038517658621191
linear,gaussian,mean,Estimated-WCP-Primary,0.5,0.9007333333333333,0.009908315328232057,0.007693333333333297,0.003479999999999993,3.318356598265336,4.1417003175838145,0.0,0.7388149914856411,0.5952943919005966,0.006300917215948296,0.62938892,0.016358922013613168,0.20618075585595175,0.1482771353143381,0.9200601668841081,0.9456501979139382,0.0018090026040489672,0.8970335075848371,0.9044331590818294
linear,gaussian,mean,Estimated-WCP-Primary,1.0,0.9016,0.019185626803992318,0.015466666666666606,0.006933333333333314,3.3465016190518293,4.1655755689005804,0.00013333333333331334,0.3626335347719304,1.34543961333122,0.017324701338054378,0.7570943466666668,0.056953079841686675,0.23006786032143714,0.16699725634512344,0.9748271350580814,0.9443920597106269,0.003502800193474113,0.8944359692138385,0.9087640307861614
linear,gaussian,mean,Estimated-WCP-Primary,1.5,0.9053599999999999,0.026257420626006577,0.020879999999999958,0.00775999999999999,3.38358436817468,4.20719883043381,0.018466666666666614,0.11443465402022847,2.9934260073292203,0.05640607344769328,0.8538747466666667,0.11746015764822072,0.32456650379569424,0.23303992029924225,0.9801807848258858,0.7935139370804463,0.004793927192921741,0.8955553180028104,0.9151646819971895
linear,gaussian,mean,Estimated-WCP-Primary,2.0,0.9038933333333333,0.04248565626780112,0.03167999999999995,0.01389333333333333,3.340816942102269,4.320868528091337,0.11882666666666661,0.034641654065563236,6.534461010938399,0.15985804805575204,0.9204411866666666,0.19162211627366985,0.5551579704412475,0.39876156883395364,0.9754929919101382,0.5907771656546329,0.007756784102761806,0.8880289285587412,0.9197577381079255
